"dataset","model","F1","k","u","c","b"
"A3Benchmark\A3Benchmark-TS81.csv",2,0.461538461538462,15,0,2,45
"A3Benchmark\A3Benchmark-TS82.csv",1,0.444444444444444,17,1,3,6
"A3Benchmark\A3Benchmark-TS83.csv",1,0.4,20,1,3,45
"A3Benchmark\A3Benchmark-TS84.csv",2,0.333333333333333,20,1,3,0
"A3Benchmark\A3Benchmark-TS85.csv",1,0.5,19,1,2,45
"A3Benchmark\A3Benchmark-TS86.csv",2,0.608695652173913,4,1,1,35
"A3Benchmark\A3Benchmark-TS87.csv",1,0.875,11,1,2,49
"A3Benchmark\A3Benchmark-TS88.csv",1,0.315789473684211,18,1,3,0
"A3Benchmark\A3Benchmark-TS89.csv",2,0.56,16,0,2,0
"A3Benchmark\A3Benchmark-TS9.csv",2,0.7,18,0,2,0
"A3Benchmark\A3Benchmark-TS90.csv",1,0.75,7,1,1,11
"A3Benchmark\A3Benchmark-TS91.csv",1,0.25,15,1,2,50
"A3Benchmark\A3Benchmark-TS92.csv",1,0.5,20,1,3,0
"A3Benchmark\A3Benchmark-TS93.csv",1,0.426229508196721,17,1,1,50
"A3Benchmark\A3Benchmark-TS94.csv",2,1,14,0,2,0
"A3Benchmark\A3Benchmark-TS95.csv",1,0.714285714285714,2,0,3,50
"A3Benchmark\A3Benchmark-TS96.csv",1,0.315789473684211,13,1,2,45
"A3Benchmark\A3Benchmark-TS97.csv",2,0.777777777777778,13,0,2,0
"A3Benchmark\A3Benchmark-TS98.csv",1,0.580645161290323,16,1,2,48
"A3Benchmark\A3Benchmark-TS99.csv",1,0.666666666666667,3,1,0,21
"A4Benchmark\A4Benchmark-TS1.csv",1,0.514285714285714,20,1,2,41
"A4Benchmark\A4Benchmark-TS10.csv",2,0.181818181818182,18,0,2,33
"A4Benchmark\A4Benchmark-TS100.csv",2,0.571428571428571,4,1,1,23
"A4Benchmark\A4Benchmark-TS11.csv",1,0.6,19,1,2,46
"A4Benchmark\A4Benchmark-TS12.csv",1,0.769230769230769,19,1,2,46
"A4Benchmark\A4Benchmark-TS13.csv",1,0.785714285714286,12,1,2,30
"A4Benchmark\A4Benchmark-TS14.csv",2,0.434782608695652,15,0,2,50
"A4Benchmark\A4Benchmark-TS15.csv",2,0.421052631578947,20,0,2,48
"A4Benchmark\A4Benchmark-TS16.csv",1,1,10,1,2,0
"A4Benchmark\A4Benchmark-TS17.csv",1,0.571428571428571,19,1,2,48
"A4Benchmark\A4Benchmark-TS18.csv",1,0.25,20,1,2,43
"A4Benchmark\A4Benchmark-TS19.csv",1,0.75,18,1,2,32
"A4Benchmark\A4Benchmark-TS2.csv",1,0.909090909090909,6,1,1,50
"A4Benchmark\A4Benchmark-TS20.csv",2,0.4,16,0,2,44
"A4Benchmark\A4Benchmark-TS21.csv",1,0.529411764705882,19,1,2,35
"A4Benchmark\A4Benchmark-TS22.csv",1,0.7,20,0,4,0
"A4Benchmark\A4Benchmark-TS23.csv",1,0.888888888888889,12,1,2,38
"A4Benchmark\A4Benchmark-TS24.csv",1,0.4,17,1,2,36
"A4Benchmark\A4Benchmark-TS25.csv",2,0.545454545454545,20,0,2,50
"A4Benchmark\A4Benchmark-TS26.csv",1,0.5,19,1,3,0
"A4Benchmark\A4Benchmark-TS27.csv",1,0.390243902439024,20,1,2,42
"A4Benchmark\A4Benchmark-TS28.csv",1,0.24,17,1,2,49
"A4Benchmark\A4Benchmark-TS29.csv",1,0.64,20,1,3,0
"A4Benchmark\A4Benchmark-TS3.csv",1,0.8,11,1,2,38
"A4Benchmark\A4Benchmark-TS30.csv",1,0.6,20,1,3,0
"A4Benchmark\A4Benchmark-TS31.csv",1,0.666666666666667,20,1,2,0
"A4Benchmark\A4Benchmark-TS32.csv",1,0.428571428571429,19,0,4,41
"A4Benchmark\A4Benchmark-TS33.csv",1,0.285714285714286,14,1,2,46
"A4Benchmark\A4Benchmark-TS34.csv",1,0.777777777777778,9,0,2,47
"A4Benchmark\A4Benchmark-TS35.csv",2,0.56,17,0,2,46
"A4Benchmark\A4Benchmark-TS36.csv",2,0.363636363636364,14,0,2,47
"A4Benchmark\A4Benchmark-TS37.csv",2,0.4,3,1,1,22
"A4Benchmark\A4Benchmark-TS38.csv",2,0.4,14,0,2,25
"A4Benchmark\A4Benchmark-TS39.csv",1,0.509090909090909,18,1,2,43
"A4Benchmark\A4Benchmark-TS4.csv",2,0.545454545454545,11,1,2,10
"A4Benchmark\A4Benchmark-TS40.csv",2,0.272727272727273,17,0,2,16
"A4Benchmark\A4Benchmark-TS41.csv",2,0.518518518518519,14,0,2,48
"A4Benchmark\A4Benchmark-TS42.csv",1,0.888888888888889,13,1,2,10
"A4Benchmark\A4Benchmark-TS43.csv",1,0.592592592592593,18,1,2,46
"A4Benchmark\A4Benchmark-TS44.csv",1,0.685714285714286,15,1,2,30
"A4Benchmark\A4Benchmark-TS45.csv",2,0.727272727272727,18,0,3,0
"A4Benchmark\A4Benchmark-TS46.csv",2,0.272727272727273,20,0,2,26
"A4Benchmark\A4Benchmark-TS47.csv",2,0.5,16,0,2,47
"A4Benchmark\A4Benchmark-TS48.csv",2,0.413793103448276,20,0,2,48
"A4Benchmark\A4Benchmark-TS49.csv",1,0.6,16,1,1,50
"A4Benchmark\A4Benchmark-TS5.csv",1,0.5,20,1,2,41
"A4Benchmark\A4Benchmark-TS50.csv",2,0.444444444444444,19,0,2,47
"A4Benchmark\A4Benchmark-TS51.csv",2,0.166666666666667,18,0,2,0
"A4Benchmark\A4Benchmark-TS52.csv",2,0.363636363636364,14,1,2,47
"A4Benchmark\A4Benchmark-TS53.csv",2,0.8,19,0,2,50
"A4Benchmark\A4Benchmark-TS54.csv",2,0.571428571428572,4,1,1,48
"A4Benchmark\A4Benchmark-TS55.csv",2,0.222222222222222,14,0,2,48
